23	256
23	270
23	388
23	491
23	708
23	751
23	800
23	855
23	932
23	953
23	990
23	1006
23	1018
23	1044
256	270
256	491
256	542
256	800
256	932
256	953
256	1018
270	388
270	491
270	533
270	613
270	708
270	751
270	765
270	844
270	855
270	920
270	932
270	953
270	990
270	1002
270	1004
270	1006
270	1018
270	1039
270	1044
338	428
338	583
338	613
338	708
338	751
338	949
338	998
388	428
388	491
388	583
388	586
388	613
388	708
388	751
388	764
388	765
388	844
388	855
388	981
388	1004
388	1028
388	1061
428	583
428	586
428	613
428	708
428	751
428	764
428	957
428	998
491	533
491	613
491	708
491	751
491	761
491	765
491	800
491	855
491	932
491	953
491	990
491	1004
491	1006
491	1028
491	1044
491	1061
533	542
533	708
533	761
533	981
533	1018
542	708
542	953
542	1018
542	1025
565	712
565	740
565	839
565	949
565	998
565	1002
565	1039
583	751
583	844
583	998
586	708
586	751
586	764
586	855
586	932
586	979
586	981
586	986
586	1028
613	708
613	751
613	765
613	800
613	855
613	932
613	990
613	998
613	1004
613	1018
613	1044
708	751
708	761
708	764
708	765
708	800
708	844
708	855
708	926
708	936
708	940
708	957
708	979
708	981
708	986
708	998
708	1002
708	1004
708	1009
708	1025
708	1026
708	1028
708	1032
708	1039
708	1053
712	740
740	839
740	1002
740	1039
751	855
751	936
751	979
751	981
751	990
751	1061
761	844
761	920
761	926
761	1025
764	981
764	1026
764	1028
764	1061
765	855
765	936
765	940
765	957
765	979
765	986
765	1004
765	1026
765	1044
765	1053
765	1061
800	940
800	953
800	1006
800	1018
800	1028
800	1044
839	920
839	926
839	1002
839	1004
839	1009
839	1025
839	1032
839	1039
844	981
844	1002
855	932
855	940
855	979
855	986
855	990
855	1004
855	1006
855	1044
855	1053
855	1061
920	1009
920	1025
920	1039
926	1002
926	1009
926	1025
926	1039
926	1053
932	953
932	990
932	1004
932	1006
932	1044
936	957
936	981
936	1025
936	1026
936	1028
936	1039
940	981
940	986
949	1028
953	990
953	1006
953	1018
953	1025
957	990
957	1009
957	1026
957	1061
979	1053
981	1006
981	1026
981	1028
986	1025
986	1026
986	1028
986	1061
990	1006
990	1018
990	1044
990	1061
998	1053
1002	1032
1002	1039
1002	1053
1004	1032
1004	1044
1004	1053
1004	1061
1006	1044
1006	1061
1009	1025
1009	1039
1025	1061
1026	1028
1032	1039
1032	1053
1032	1061
1039	1061
1044	1061
1053	1061
